,id,machine_id,material_cost,service_cost,total_cost,description,created_at,category,time_stopped
200,209,24,0.0,0.0,0.0,tanque 3 água sanitária: prender ,1614870043165,0.0,3.0
201,210,24,0.0,0.0,0.0,rede de água / água sanitária: trocar ,1614953386829,0.0,1.0
202,211,20,0.0,0.0,0.0,tubulação do sem cloro: trocar registro 32 mm ,1615406152935,0.0,4.0
203,212,1,0.0,0.0,0.0,embaladora de vela: regulagem ,1605204968378,0.0,3.0
204,213,51,0.0,0.0,0.0,placa advertência prensa papelão: prender com bucha ,1605205111304,0.0,5.0
205,214,27,0.0,0.0,0.0,bomba retorno tanque do porão: troca de conexão / fabricado nipel de ferro na entrada da bomba ,1605529694958,0.0,9.0
206,215,24,0.0,0.0,0.0,tanque do cloro: verificar,1605288858007,0.0,5.0
207,216,52,0.0,0.0,0.0,,1605291125352,0.0,2.0
208,217,19,0.0,0.0,0.0,lâmpada fluorescente: troca de lâmpada e starter ,1605292452107,0.0,6.0
209,218,19,0.0,0.0,0.0,tapete transportador de corrente: substituir segmento quebrado ,1605525025878,0.0,3.0
210,219,31,0.0,0.0,0.0,"bomba do rio: o rio levou válvula e tubo / colocar outra/fazer suporte tipo ""garateia"" no pé da válvula e tubo de aço com joelho com argolas de ancoragem  ",1605530106856,0.0,3.0
211,220,2,0.0,0.0,0.0,bicos de envase: desmontado limpado e trocado intermediário quebrado ,1605546928393,0.0,1.0
212,221,21,0.0,0.0,0.0,guincho plataforma portão: fabricado e instalado outra ,1605549525982,0.0,3.0
213,222,21,0.0,0.0,0.0,rampa de descarga: aumentar chapa / colocar longarinas de reforço / pintar / consertar trava do guincho ,1605552695869,0.0,3.0
214,223,25,0.0,0.0,0.0,elevador água sanitária: solda de estrutura ,1605612258008,0.0,2.0
215,224,12,0.0,0.0,0.0,,1605624849931,0.0,5.0
216,225,12,0.0,0.0,0.0,,1605624997636,0.0,3.0
217,226,24,0.0,0.0,0.0,chuveiro de emergência: fabricar pedestal de suporte para chuveiro / refazer tubulação ,1614614443477,0.0,1.0
218,227,53,0.0,0.0,0.0,,1605635885167,0.0,3.0
219,228,24,0.0,0.0,0.0,,1614614536210,0.0,1.0
220,229,24,0.0,0.0,0.0,,1614614560370,0.0,3.0
221,230,24,0.0,0.0,0.0,,1614614591466,0.0,4.0
222,231,24,0.0,0.0,0.0,,1614614609912,0.0,10.0
223,232,54,0.0,0.0,0.0,telhado: conserto de telhado com pessoal especializado ,1605701296531,0.0,5.0
224,233,54,0.0,0.0,0.0,bomba elétrica: serviço elétrico ,1605701561763,0.0,4.0
225,234,37,0.0,0.0,0.0,máquina esponja: verificar possibilidade de protetor de correia e verificar tensão do atuador de corte. isolar .,1605701954251,0.0,2.0
226,236,55,0.0,0.0,0.0,plataforma do tacho: estudar forma de colocar guarda corpo móvel ,1605702571686,0.0,5.0
227,237,56,0.0,0.0,0.0,torre do resfriamento: fabricar protetor ,1605702801597,0.0,3.0
228,238,56,0.0,0.0,0.0,,1605703181248,0.0,2.0
229,239,57,0.0,0.0,0.0,plataforma: estudar guarda corpo móvel ,1605703433470,0.0,1.0
230,240,57,0.0,0.0,0.0,redutor do agitador: fabricar proteção ,1605703957471,0.0,5.0
231,241,58,0.0,0.0,0.0,redutor do agitador: fabricar protetor ,1605704064289,0.0,2.0
232,242,57,0.0,0.0,0.0,motor do redutor: comprar ou fabricar caixa de ligação ,1605704306214,0.0,4.0
233,243,59,0.0,0.0,0.0,conjunto redutor e motor: fabricar protetor de correia ,1605704422932,0.0,3.0
234,244,59,0.0,0.0,0.0,linha de vapor: isolar com lá de vidro ,1605704944458,0.0,6.0
235,245,59,0.0,0.0,0.0,"plataforma: desnecessário, para acessar tem que subir um degrau e se contorcer entre as tubulações de vapor ",1605705205406,0.0,3.0
236,246,60,0.0,0.0,0.0,,1605705450627,0.0,2.0
237,247,60,0.0,0.0,0.0,,1605705642805,0.0,2.0
238,248,61,0.0,0.0,0.0,"conjunto motor redutor: fabricar protetor de correia obs: proteção desnecessária, correias não estão ao alcance do operador / acessível somente pela manutenção que é feita com equipamento desligado ",1605706175946,0.0,2.0
239,249,62,0.0,0.0,0.0,fogareiro: trocado abraçadeiras da válvula e duto de registros.,1605714364668,0.0,3.0
240,250,63,0.0,0.0,0.0,,1605707319552,0.0,3.0
241,251,22,0.0,0.0,0.0,compressores do resfriador: troca de todo o sistema,1605708327845,0.0,3.0
242,252,22,0.0,0.0,0.0,,1605708444335,0.0,6.0
243,253,22,0.0,0.0,0.0,caixa refrigerada: compra de sistema novo,1605708626040,0.0,1.0
244,254,22,0.0,0.0,0.0,iluminação: Revisado eletricista terceiro,1605708725832,0.0,5.0
245,255,22,0.03,0.0,0.03,misturador de matéria prima 1-2-3: fabricado protetor sob medida,1614787153146,0.0,1.0
246,256,37,0.0,0.0,0.0,máquina de esponjas: fabricar 2 garfos novos ,1605781147967,0.0,5.0
247,257,22,0.0,0.0,0.0,,1605791147152,0.0,5.0
248,258,48,0.0,0.0,0.0,caldeira parafina reciclada: trocado união ,1605804594220,0.0,3.0
249,259,31,0.0,0.0,0.0,tanques de amaciante: adaptar saída para calha da rua ,1605807128549,0.0,3.0
250,260,17,0.0,0.0,0.0,,1605807319767,0.0,3.0
251,261,3,0.0,0.0,0.0,calha do chão: fabricar grade ,1605807356956,0.0,3.0
252,262,2,0.0,0.0,0.0,ralos de piso: fabricar tampa resistente a passagem da paleteira ( 11 PCs),1605808332222,0.0,4.0
253,263,55,0.0,0.0,0.0,motor do redutor: colocar tampa / ou caixa de ligação inteira ,1605867851625,0.0,1.0
254,264,59,0.0,0.0,0.0,motor do redutor: comprar ou fabricar caixa de ligação ,1605868401650,0.0,4.0
255,265,61,0.0,0.0,0.0,motor do redutor: comprar ou fabricar caixa de ligação,1605868616414,0.0,3.0
256,266,63,0.0,0.0,0.0,rampa e plataforma do guincho: alongar e reforçar instalação de corrimão e guarda corpo,1605869410820,0.0,5.0
257,267,53,0.0,0.0,0.0,,1605874778852,0.0,1.0
258,268,6,0.0,0.0,0.0,tampador: encalhamento por garrafas fora de tamanho ,1605877580567,0.0,4.0
259,269,48,0.0,0.0,0.0,,1605877717139,0.0,2.0
260,270,48,0.0,0.0,0.0,fogareiro: transferir para área aberta e fazer estrutura de alvenaria para colocação do fogareiro e estudar colocação de botijão fora ,1605878045295,0.0,6.0
261,271,48,0.0,0.0,0.0,tubulação vapor: correto passar por dentro de canaleta,1605879348014,0.0,7.0
262,272,48,0.0,0.0,0.0,tanque 01 e 03 risco de queimadura a terceiros do corredor: fazer meia tampa ,1605879825618,0.0,3.0
263,273,48,0.0,0.0,0.0,,1605880465561,0.0,3.0
264,274,37,0.0,0.0,0.0,aranha máquina de esponjas: fabricar garfos novos ,1605883537554,0.0,4.0
265,275,22,0.0,0.0,0.0,misturador de matéria prima 02: comprar caixa de ligação,1605901434979,0.0,4.0
266,276,48,0.0,0.0,0.0,fechadura de caixa: limpeza e afiar navalha ,1605902364219,0.0,3.0
267,277,24,0.0,0.0,0.0,tanque retorno para sabão: para facilitar a troca de tela ,1606127960301,0.0,3.0
268,278,3,0.0,0.0,0.0,aplicador de Tama: polimento e ajuste ,1606133081014,0.0,4.0
269,279,18,0.0,0.0,0.0,embaladora água sanitária 1L: passado fita na posição correta ,1606133285662,0.0,4.0
270,280,4,0.0,0.0,0.0,bico de envase: substituído ,1606141706677,0.0,3.0
271,281,3,0.0,0.0,0.0,cabeça de torque 01: ajuste ,1606141782083,0.0,3.0
272,282,17,0.0,0.0,0.0,embaladora café almofada: solda e recolocar arrebites ,1606215490332,0.0,2.0
273,283,16,0.0,0.0,0.0,roteador de café: refazer conexões de ferro ,1606215622147,0.0,2.0
274,284,29,0.0,0.0,0.0,,1606218641988,0.0,3.0
275,285,2,0.0,0.0,0.0,válvula pneumática( registro ) não aciona: boia com infiltração de cloro ,1606221194995,0.0,3.0
276,286,6,0.0,0.0,0.0,tampador: ajuste ,1606223998296,0.0,5.0
277,287,2,0.0,0.0,0.0,válvula pneumática ( registro ): boia nova com defeito / colocar outra nova ,1606239489017,0.0,8.0
278,288,6,0.0,0.0,0.0,tampador: fabricado em aço  tomando como base o desgaste do original ,1606240308979,0.0,5.0
279,289,12,0.0,0.0,0.0,rede amaciante: trocado filtro ,1606240503201,0.0,4.0
280,290,24,0.0,0.0,0.0,tanque agitador detergente: troca de conexões ,1606248620598,0.0,2.0
281,291,24,0.0,0.0,0.0,elaborador de detergente n° 2: fica ao alcance do operador ( nunca teve protetor) ,1606304097825,0.0,7.0
282,292,24,0.0,0.0,0.0,elaborador de detergente nπ 1: fica ao alcance do operador ,1606304241536,0.0,3.0
283,293,24,0.0,0.0,0.0,armazenador de produto semi elaborado ( tanque 3): eletrecista ,1606304535846,0.0,4.0
284,294,24,0.0,0.0,0.0,água para tanque alvejante sem cloro: 50mm ( T = 1) ( joelho = 5) ( registro com adaptador = 1) ( cano 1 barra) ,1614094939394,0.0,4.0
285,295,24,0.0,0.0,0.0,tanque do sal: (T 50mm ) ( joelho 4) (registro com adaptador) ( barra de cano ) ,1614094905526,0.0,5.0
286,296,24,0.0,0.0,0.0,tanque agitador lava roupas: (T 50mm = 1) ( joelho = 5) (cano 2barras ) ( registro com adaptador = 1) ( bucha metálica 8 X 100 = 10 ) ,1614094861081,0.0,4.0
287,297,24,0.0,0.0,0.0,elaborador da base: ( T 50mm = 1) ( joelho 2) ,1606311056762,0.0,4.0
288,298,4,0.0,0.0,0.0,água 5L: mangueira podre rasgada / troca por outra de péssima qualidade ,1606386931371,0.0,5.0
289,299,3,0.0,0.0,0.0,rede ar comprimido: mangueira podre rasgada / substituída por outra de qualidade duvidosa ,1606387045024,0.0,2.0
290,300,14,0.0,0.0,0.0,bandeja máquina de vela: solda ,1606391369737,0.0,3.0
291,301,3,0.0,0.0,0.0,divisor depois do carrocel: sincronicar máquina toda ,1606393847708,0.0,1.0
292,302,28,0.0,0.0,0.0,ventilador detergente 500 ml: eletrecista ,1606400669433,0.0,3.0
293,303,12,0.0,0.0,0.0,rede ar cilindro conjunto de bicos: trocado ,1606413010125,0.0,4.0
294,304,24,0.0,0.0,0.0,tanque sem cloro: trinca no fundo / não dá pra soldar / colocado resina / duas demão.,1606503974544,0.0,5.0
295,305,64,0.0,0.0,0.0,chuveiro emergência setor elaboração detergente: fazer coluna de fixação e posicionado melhor ,1606504193377,0.0,4.0
296,306,24,0.0,0.0,0.0,tanque da base: esta ao alcance do operador colocar proteção ,1606741455783,0.0,8.0
297,307,24,0.0,0.0,0.0,tanque do concentrado: fazer tampa de inox ,1606741622078,0.0,2.0
298,308,24,0.0,0.0,0.0,quadro elétrico ao lado do tanque lauril: mudar quadro e caixa secundaria de posição ,1606741855193,0.0,3.0
299,309,24,0.0,0.0,0.0,bomba do tanque lauril: fabricar conf desenho ,1606742170334,0.0,3.0
300,310,24,0.0,0.0,0.0,calha: fabricar grade de proteção ,1606742476060,0.0,4.0
301,311,24,0.0,0.0,0.0,quadro elétrico: colocar caixa de ligação nova ,1606742783469,0.0,4.0
302,312,2,0.0,0.0,0.0,caixa de ligação na mureta dos tanques: recolocar tampa ,1606743085539,0.0,4.0
303,313,65,0.0,0.0,0.0,envasadora de cera: trocar por novos ,1606746162495,0.0,7.0
304,314,14,0.0,0.0,0.0,máquina 7 dias número 50 mm: fabricar e instalar nova vareta ,1606821143347,0.0,2.0
305,315,43,0.0,0.0,0.0,prensa corte papelão: arrastar para posição ,1606830320347,0.0,4.0
306,316,20,0.0,0.0,0.0,rede ar comprimido: remendo com imenda pneumática 8 mm,1606831907989,0.0,3.0
307,317,2,0.0,0.0,0.0,boia de nível: troca de boia por outra nova outra marca ,1606832036780,0.0,4.0
308,318,24,0.0,0.0,0.0,"rede do cloro 1"": troca ",1606832117267,0.0,3.0
309,319,16,0.0,0.0,0.0,roteador de café: troca de registro ,1606842816017,0.0,3.0
310,320,2,0.0,0.0,0.0,mesa acumuladora: ajustado guias e passado silicone ,1606842887730,0.0,5.0
311,321,10,0.0,0.0,0.0,exaustores de telhado: serviço de telhado / pessoal de telhado .,1606843143983,0.0,3.0
312,322,20,0.0,0.0,0.0,bicos trancado vazando: lubrificado novamente pela centésima  vez ,1606904662614,0.0,1.0
313,323,3,0.0,0.0,0.0,boia elétrica de nivel: boia de na qualidade defeito de série da marca / troca de marca ,1606909415816,0.0,3.0
314,324,19,0.0,0.0,0.0,pente guia para nova embalagem: com 22 frascos / material tecnil /  8 bicos com novas mangueiras .,1606914657500,0.0,3.0
315,325,3,0.0,0.0,0.0,boia de nível: baixar nível ,1606917103012,0.0,6.0
316,326,3,0.0,0.0,0.0,guia estrela do tampador: subir e travar ,1606917180874,0.0,3.0
317,327,56,0.0,0.0,0.0,embaladora de sabão: trocado por novo ,1606938857918,0.0,2.0
318,328,3,0.0,0.0,0.0,bicos de envase: troca por novo ,1606996740807,0.0,1.0
319,329,17,0.0,0.0,0.0,embaladora café (almofada): colocado arrebite de inox ,1606996896849,0.0,4.0
320,330,3,0.0,0.0,0.0,calhas: 4 ° orçamento ,1606997152092,0.0,4.0
321,331,20,0.0,0.0,0.0,bicos: lubrificado ( todo dia ) fanta vedação ideal .,1606999369033,0.0,7.0
322,332,22,0.0,50.0,50.0,sopradora pet: desmontagem e montagem ( ajuda) ,1607004004784,0.0,3.0
323,333,5,0.0,0.0,0.0,rede e filtros: preventivo ,1607004681255,0.0,2.0
324,334,19,0.0,0.0,0.0,,1607024068929,0.0,9.0
325,335,19,0.0,0.0,0.0,tampador da furadeira: rebaixo no torno / polimento de borda ,1607024204905,0.0,10.0
326,336,31,0.0,0.0,0.0,bomba do rio: reposicionado / conferido amarras ,1607079905956,0.0,2.0
327,337,56,0.0,0.0,0.0,embaladora sabão: compra de moto redutor segundo orientação em orçamento anexo ,1612913535181,0.0,5.0
328,338,24,0.0,0.0,0.0,tubulação descarga cloro / conexões da rua .: união - registro - espigão de inox - abraçadeira reforçada ,1607102801759,0.0,3.0
329,339,16,0.0,0.0,0.0,moinho de martelo café: trocado todos os 60 martelos gastos ,1607367069737,0.0,2.0
330,340,3,0.0,0.0,0.0,bicos: desmontado e limpo ,1607367292145,0.0,3.0
331,341,20,0.0,0.0,0.0,biscos: vedação não ideal ( resseca com o produto ) ,1607367607413,0.0,6.0
332,342,24,0.0,0.0,0.0,rede lauril: colocado calha de PVC debaixo da rede ,1607367928602,0.0,3.0
333,343,24,0.0,0.0,0.0,rede cloro: troca por novo ,1607368021569,0.0,5.0
334,344,3,0.0,0.0,0.0,I.H.M instalação: entrada coma do invertida ,1607368095095,0.0,2.0
335,345,3,0.0,0.0,0.0,impressora: ajustado ,1607368207679,0.0,3.0
336,346,32,0.0,0.0,0.0,bomba para sabão: limpeza ,1607371048172,0.0,1.0
337,347,65,0.0,0.0,0.0,bomba cera líquida: troca de gaxeta / rotor e rolamento ,1607371131580,0.0,5.0
338,348,22,0.0,0.0,0.0,rosca extrusora: troca ,1607434864882,0.0,1.0
339,349,4,0.0,0.0,0.0,envase clorado: máquina ok / produto viscoso ,1607435050669,0.0,2.0
340,350,6,0.0,0.0,0.0,tampador: baixado pressionados ,1607435345159,0.0,4.0
341,351,6,0.0,0.0,0.0,sopro bico 17: troca ,1607435462939,0.0,4.0
342,352,2,0.0,0.0,0.0,aplicador de tampa: aplicador muito alto / baixado ,1607435752067,0.0,3.0
343,353,4,0.0,0.0,0.0,ar comprimido: troca ,1607445250806,0.0,7.0
344,354,65,0.0,0.0,0.0,bomba da envasadora: selo / retirado bomba e devolvido em garantia ,1607445317156,0.0,4.0
345,355,6,0.0,0.0,0.0,apalpador de tampas: completar desgaste e usinagem ,1607447281209,0.0,2.0
346,356,18,0.0,0.0,0.0,fechadura água 1 e 2 L: vento ,1607455234284,0.0,2.0
347,357,32,0.0,0.0,0.0,tanques acumuladores porão: limpeza ,1607455323408,0.0,6.0
348,358,5,380.0,425.0,805.0,alimentação elétrica: contator incompatível com motor 20 CV / conferido alimentação / sem danos por aquecimento / disjuntor nunca disparado / relé sem disparo térmico. ( trocado contator por de maior potência ) trocado caixa de ligação por maior . ,1607526084793,0.0,3.0
349,359,12,0.0,0.0,0.0,tampador: ajuste ,1607530982440,0.0,3.0
350,360,24,0.0,0.0,0.0,tanques cloro: troca ,1607532309365,0.0,6.0
351,361,24,0.0,0.0,0.0,rede descarga caminhão: colocar 2 abraçadeiras de ferro / rosca registro quebrando e espigão solto ,1607533135673,0.0,4.0
352,362,10,0.0,0.0,0.0,rede estoque desengordurante: troca de registro ,1607537434153,0.0,2.0
353,363,2,0.0,0.0,0.0,envasadora: ajustar volume ,1607537750695,0.0,2.0
354,364,12,0.0,0.0,0.0,tamoador: mudado torque para + ,1607542910232,0.0,5.0
355,365,5,0.0,0.0,0.0,compressor e rede: preventiva ,1607594982041,0.0,6.0
356,366,19,0.0,0.0,0.0,rede ar comprimido: troca de imenda e mangueira 8 mm ,1607595045550,0.0,2.0
357,367,34,0.0,0.0,0.0,caixa agitador: retirada ,1607595192806,0.0,3.0
358,368,3,0.0,0.0,0.0,mesa acumuladora: reposicionar ,1607604309343,0.0,2.0
359,369,3,0.0,0.0,0.0,tampador: espanando / tampas defeituosas / regulado ,1607604525354,0.0,2.0
360,370,24,0.0,0.0,0.0,rede água: corte e selo ,1607606489228,0.0,4.0
361,371,12,0.0,0.0,0.0,tamoador: ajustado ,1607610532152,0.0,4.0
362,372,65,0.0,0.0,0.0,cáixa cera base água vermelha: trocar joelho ,1612913429564,0.0,2.0
363,373,66,0.0,0.0,0.0,tomada elétrica: eletricista trocar tomada ,1607951792473,0.0,3.0
364,374,19,0.0,0.0,0.0,tampador: recolocar no lugar ,1607955037097,0.0,4.0
365,375,5,0.0,0.0,0.0,,1609792507308,0.0,1.0
366,376,2,0.0,0.0,0.0,rede ar comprimido: trocado imenda ,1609792599591,0.0,3.0
367,377,3,0.0,0.0,0.0,rede ar  comprimido: trocado imenda pneumática 8 mm,1609792674312,0.0,3.0
368,378,6,0.0,0.0,0.0,sapata de elevação / bico n°18: colocado arroela sob medida de 1.5 mm de altura ,1609792767380,0.0,1.0
369,379,32,0.0,0.0,0.0,bomba de transferência do reservatório 1 para reservatório 2: refazer ligação e isolamento ,1609846120708,0.0,3.0
370,380,6,0.0,0.0,0.0,bico n° 8: troca de vedação ,1609928725434,0.0,4.0
371,381,19,0.0,0.0,0.0,envasadora desinfetante: fazer 6 adaptadores de ponta de bicos para galão de 5 litros,1612913083527,0.0,4.0
372,382,49,0.0,0.0,0.0,rede lauril pós bomba: joelho quebrado / trocar ,1612263085706,0.0,4.0
373,383,3,0.0,0.0,0.0,escada plataforma móvel para limpeza e manutenção: fabricar em inox ou tecnil semelhante a estrutura da envasadora / comprar escada articulada,1613044767772,0.0,4.0
374,384,18,0.0,0.0,0.0,fechadura de caixa amaciante: fabricar articulação nova / fabricar bucha nova / fabricar rolinho tecnil novo colocar parafusos faltantes ,1613136963657,0.0,3.0
375,385,48,0.0,0.0,0.0,tanque de parafina da oficina: troca de controlador ,1613566700704,0.0,3.0
376,386,34,0.0,0.0,0.0,inversor do agitador desarmando: apertado contatos e conferido tensão ,1613566845685,0.0,4.0
377,387,32,0.0,0.0,0.0,bomba do porão para a primeira caixa: contatos queimada ,1613566943147,0.0,4.0
378,388,20,0.0,0.0,0.0,bicos de envase: troca de oring de ponta ,1613753625474,0.0,5.0
379,389,18,0.0,0.0,0.0,fechadura amaciante: ajuste e lubrificação ,1613753765294,0.0,4.0
380,390,19,0.0,0.0,0.0,tampador da linha de desinfetantes: troca de rolamentos ,1613753868152,0.0,4.0
381,391,32,0.0,0.0,0.0,bomba bag / retorno para sabão: destravada / colocar bomba de maior vazão ,1613991068941,0.0,4.0
382,392,60,0.0,0.0,0.0,suporte pistão de corte plástico quebrado: solda e retifica de canal de regulagem ,1613997047220,0.0,1.0
383,393,37,0.0,0.0,0.0,aranha formadora de esponja: refazer varão ,1613997414688,0.0,4.0
384,394,31,0.0,0.0,0.0,bomba de água limpa pra produção: agendar troca de selo ,1615817184953,0.0,1.0
385,395,2,0.0,0.0,0.0,rede ar comprimidos: troca de segmento de mangueira ,1614011802369,0.0,1.0
386,396,2,0.0,0.0,0.0,bomba de retorno: recolocado filtro no reservatório retorno ,1614013697975,0.0,3.0
387,397,32,0.0,0.0,0.0,tanques de coleta de água sanitária e sobras de elaboração / porão compressor: limpeza ,1614014202043,0.0,4.0
388,398,24,0.0,0.0,0.0,plataforma / escada / tanques elaboração amaciante: conf desenho e orçamento,1614015012413,0.0,3.0
389,399,5,0.0,0.0,0.0,compressor: purga do tanque / filtro / rede água sanitária / detergente ,1614075013782,0.0,4.0
